,left_up,right_up,right_down,left_down
"0, 0","(5872.504371452557, -4503.331900559877)","(17485.50437145256, -4674.067866046973)","(17421.756557178836, -9010.022303348469)","(5808.7565571788355, -8839.286337861373)"
"1, 0","(5936.252185726278, -167.37746325838026)","(17549.252185726284, -338.1134287454759)","(17485.50437145256, -4674.067866046973)","(5872.504371452557, -4503.331900559877)"
"2, 0","(6000.0, 4168.576974043117)","(17613.000000000004, 3997.8410085560217)","(17549.252185726284, -338.1134287454759)","(5936.252185726278, -167.37746325838026)"
"0, 1","(17485.50437145256, -4674.067866046973)","(29098.50437145256, -4844.803831534068)","(29034.756557178836, -9180.758268835565)","(17421.756557178836, -9010.022303348469)"
"1, 1","(17549.252185726284, -338.1134287454759)","(29162.252185726284, -508.8493942325714)","(29098.50437145256, -4844.803831534068)","(17485.50437145256, -4674.067866046973)"
"2, 1","(17613.000000000004, 3997.8410085560217)","(29226.000000000004, 3827.105043068926)","(29162.252185726284, -508.8493942325714)","(17549.252185726284, -338.1134287454759)"
"0, 2","(29098.50437145256, -4844.803831534068)","(40711.50437145257, -5015.539797021163)","(40647.756557178844, -9351.494234322661)","(29034.756557178836, -9180.758268835565)"
"1, 2","(29162.252185726284, -508.8493942325714)","(40775.252185726284, -679.5853597196669)","(40711.50437145257, -5015.539797021163)","(29098.50437145256, -4844.803831534068)"
"2, 2","(29226.000000000004, 3827.105043068926)","(40839.000000000015, 3656.3690775818304)","(40775.252185726284, -679.5853597196669)","(29162.252185726284, -508.8493942325714)"
"0, 3","(40711.50437145257, -5015.539797021163)","(52324.50437145257, -5186.2757625082595)","(52260.756557178844, -9522.230199809756)","(40647.756557178844, -9351.494234322661)"
"1, 3","(40775.252185726284, -679.5853597196669)","(52388.252185726284, -850.3213252067625)","(52324.50437145257, -5186.2757625082595)","(40711.50437145257, -5015.539797021163)"
"2, 3","(40839.000000000015, 3656.3690775818304)","(52452.000000000015, 3485.633112094735)","(52388.252185726284, -850.3213252067625)","(40775.252185726284, -679.5853597196669)"
"0, 4","(52324.50437145257, -5186.2757625082595)","(63937.50437145257, -5357.011727995355)","(63873.756557178844, -9692.966165296852)","(52260.756557178844, -9522.230199809756)"
"1, 4","(52388.252185726284, -850.3213252067625)","(64001.252185726284, -1021.057290693858)","(63937.50437145257, -5357.011727995355)","(52324.50437145257, -5186.2757625082595)"
"2, 4","(52452.000000000015, 3485.633112094735)","(64065.00000000001, 3314.8971466076396)","(64001.252185726284, -1021.057290693858)","(52388.252185726284, -850.3213252067625)"
"0, 5","(63937.50437145257, -5357.011727995355)","(75550.50437145257, -5527.74769348245)","(75486.75655717884, -9863.702130783948)","(63873.756557178844, -9692.966165296852)"
"1, 5","(64001.252185726284, -1021.057290693858)","(75614.25218572629, -1191.7932561809534)","(75550.50437145257, -5527.74769348245)","(63937.50437145257, -5357.011727995355)"
"2, 5","(64065.00000000001, 3314.8971466076396)","(75678.0, 3144.161181120544)","(75614.25218572629, -1191.7932561809534)","(64001.252185726284, -1021.057290693858)"
